Relationship_Name,Track_Completed,Mistake,Track_Time,count
Członek rodziny-Członek rodziny,0.670003451846738,0.31032102174663445,18126.58294693457,5794
Członek rodziny-Inna znacząca osoba,0.6794871794871795,0.3076923076923077,15791.622641509433,78
Członek rodziny-Nieznajomy,0.5891472868217055,0.40310077519379844,12434.223684210527,129
Członek rodziny-Znajomy,0.6358381502890174,0.32947976878612717,17087.98181818182,173
Inna znacząca osoba-Członek rodziny,0.6226415094339622,0.3490566037735849,20029.303030303032,106
Inna znacząca osoba-Inna znacząca osoba,0.7119645494830132,0.27326440177252587,13101.521784232365,1354
Inna znacząca osoba-Nieznajomy,0.6818181818181818,0.3181818181818182,14514.866666666667,22
Inna znacząca osoba-Znajomy,0.7872340425531915,0.2127659574468085,10431.22972972973,94
Nieznajomy-Członek rodziny,0.6714285714285714,0.3142857142857143,14570.468085106382,70
Nieznajomy-Inna znacząca osoba,0.8,0.2,16946.35,25
Nieznajomy-Nieznajomy,0.6007751937984496,0.3875968992248062,15112.94193548387,258
Nieznajomy-Znajomy,0.6785714285714286,0.3,10606.884210526316,140
Znajomy-Członek rodziny,0.5984848484848485,0.36363636363636365,16355.417721518987,132
Znajomy-Inna znacząca osoba,0.6730769230769231,0.3076923076923077,15639.485714285714,52
Znajomy-Nieznajomy,0.6687116564417178,0.3128834355828221,9942.981651376147,163
Znajomy-Znajomy,0.6566589684372595,0.32909930715935337,14439.513481828839,2598
