Tor,Grupa_wiekowa,Licznosc,Sredni_czas_ms,Odch_standardowe,Blad_standardowy,Wskaznik_ukonczenia,Wskaznik_bledow
1,18-29,7374,41076.32200247219,27898.36178398529,490.4270830654844,0.43883916463249256,0.5553295362082994
1,30-44,6673,46403.50949913644,30488.329560521634,566.6427626953493,0.43383785403866326,0.5603176981867226
1,45-59,2155,46847.80931744312,31408.873066688484,1033.8356498698781,0.4283062645011601,0.5651972157772622
1,60+,799,48702.575539568345,35237.18964676176,2113.3861933316743,0.3479349186483104,0.6408010012515645
1,< 18,11735,50930.64960792406,34904.24168161564,501.40250828389264,0.4129527055815935,0.5786109927567107
2,18-29,8944,38262.58429003021,22958.951154726303,399.05986123320486,0.3700805008944544,0.6254472271914132
2,30-44,7918,45371.96092184369,27852.584209155677,509.02556887538293,0.3781257893407426,0.6155594847183632
2,60+,1153,45420.94117647059,36944.10121161878,1910.3339954458143,0.32437120555073723,0.6695576756287944
2,45-59,2299,47971.47792494481,29763.201223299693,988.8161288679017,0.39408438451500655,0.5959112657677251
2,< 18,13368,49436.64945542558,31613.13739151925,448.9669141293939,0.370885697187313,0.6219329742669061
3,18-29,7591,23617.03805620609,18684.223208721818,319.68047797090793,0.4500065867474641,0.5468317744697668
3,60+,1259,25792.88470066519,19556.50318072706,920.8797690960256,0.358220810166799,0.6354249404289118
3,30-44,6433,29832.61254612546,20415.531199346908,373.92086219951204,0.46339188558992694,0.530701072594435
3,45-59,2231,30094.28382502543,20090.45714915744,640.7860670976717,0.4406095921111609,0.5531151949798296
3,< 18,11648,31200.9567982046,22111.476686896396,302.38667897835325,0.45904876373626374,0.5330528846153846
4,18-29,5814,27694.22158936805,20653.049360536515,340.1320951011774,0.6341589267285862,0.35552115583075333
4,60+,603,33996.10662824207,31563.615458961587,1694.4236571181737,0.5754560530679934,0.38971807628524047
4,30-44,4643,34076.80537352556,27098.736169467928,490.52005928980265,0.6573336205039845,0.3245746284729701
4,< 18,8208,35106.79473580829,28093.52778445129,393.7356416742071,0.6202485380116959,0.3557504873294347
4,45-59,1380,35342.53175457481,24505.83000241001,804.0102019573341,0.6731884057971015,0.3050724637681159
5,18-29,5470,37881.69321982365,23652.55929941291,412.4261587214898,0.6012797074954296,0.3829981718464351
5,60+,595,43111.545741324924,30535.552061044236,1715.0474694047075,0.5327731092436975,0.43865546218487395
5,30-44,4366,44835.378552482,24309.142803643346,473.20568092932234,0.6044434264773247,0.3678424186898763
5,< 18,8214,46098.39018883416,26052.025504610705,373.2397199184628,0.5931336742147553,0.38653518383248114
5,45-59,1325,46578.858548585486,26210.20080624829,919.231875114298,0.6135849056603774,0.36452830188679247
6,18-29,6116,13628.429847238544,14192.603852200727,217.57665645675505,0.6957161543492478,0.2882603008502289
6,60+,645,14540.727272727272,16846.49481658878,813.3564342013691,0.6651162790697674,0.31937984496124033
6,< 18,9518,16622.801002263175,18129.877203368513,230.51007112196908,0.6499264551376339,0.3329480983399874
6,30-44,4587,18104.837254901962,17813.912354742923,322.0316802213165,0.6671026814911707,0.3102245476346196
6,45-59,1510,18566.648752399233,18487.87434529298,572.7342054257175,0.6900662251655629,0.29602649006622517
7,18-29,7903,47349.58616298812,25560.221620265227,526.5952920039521,0.2981146400101227,0.6835378970011388
7,60+,775,52240.78640776699,34282.85708791281,2388.599835739024,0.2658064516129032,0.712258064516129
7,45-59,2085,53975.953821656054,29894.05036717375,1192.9024760827938,0.3011990407673861,0.6709832134292566
7,30-44,6323,54308.834806629835,27207.594265390686,639.5151762181457,0.28625652380199273,0.692551004270125
7,< 18,12062,57634.067558746734,29601.19130919581,534.76725828759,0.2540208920577019,0.7192837008787929
