Relationship_Name,Track_Completed,Mistake,Track_Time,std_time,se_time,count,completed_count,error_count,times
Inna znacząca - Inna znacząca,0.6124684077506318,0.37320977253580456,37520.756533700136,23540.220672817406,873.0584585088118,1187,727,443,"[ 32849  34534  45494  55705  23807  79696  32749  73139  28345  71104
  37671  19903  15632  34167  59125  66900  46763  35268  23957  41541
  31214  20336  36970  35085  26059  80463  33249  16933  20904  11211
   8958   7640   7807  59091  50349  18835  57840  76876  22655  51267
  44310  87119  62078  36769  17083  34217  31031  26793  31431  91140
 105004  42426  30580  38705  29012  33983  70854  19986  44411  57490
  64747  29663  83767  36236  51968  26609  50934  30163  19219  27060
  15882  12395  56806  34534  33299  40173  58041  71288  33883  20236
  45729  45045  26743  62729  54787  46095  34668  24090  56256  49933
 109075  50233  22555  11544  17250  12562  34300  22622  23907  28211
  52969  25725  33933  19502  60009  49249  33683  18051  33149  40173
  38354  45979  22088  45295  29763  11561  12696  24324  15165  22555
  14531  13046  11928  38171  47030  50750  21237  19085  24441  54621
  25175  24474  35201  41575  41908  20420  53453  42992  30830  24707
  29696  26693  41107  42508  53586  41708  29145  68368  35401  62044
  74474  24007  25041  34901  36586  80063  85468  19502  12995  11628
   8775   7974   7374  39139  38488  52652  38388  29596  57190  29762
  15899  28878  45712  13062  12262  54220  21905  14731  23222  39489
  26209  35452  49916  17884  36753  19452  12962  89356  28878  52085
  35235  37053  27477  67000  45428  24741  19903  16583  19953  16866
  24090  27511  42208  41674  62962  71788  26676  19419  17550  11928
  24090  20537  48548  29395  28211  19702  35318  21755  17751  79495
  48798  52602  52452  18952  39389  12813  72488  27928  28378  15865
  36686  18468  23890  17917   9843  11411   7874  24941  18585  15699
  41941  30446  25409  14097  34501  24190  44360  26393  34884  19169
 168417  47163  44694  19953  26293  37854  25575  28028  21271  31848
  22789  58341  22238  35318  39555  43460   9376   8641   8041   7173
   7257   9125   6706   8391   7106  48114 102719  60961 126826  68018
  61595  39422  87971  31731  37821  20053  20570  67433  22822  16950
  32298  17884  11961  13713  53620  27126  43877  38454  29362  51601
 112395  41441  18267  34467  61094  71688  52652  30713  48298  26393
  24724  57473  47714  36819  25725  35118  22672  23406  18752  28061
  59326  57423  19068  24457  15331  31064  26526  15832  18935  11678
  30246  37220  33199  37670  46313 101351  30964  64881  52335  72472
  59742  53920  33383  70053 102168  20453  61311  33983  28127  68084
  35451  36736  53553  42442  81847  78094  40807  26276  24340  74124
  31748  51050  25725  41091  28778  24324  81047 114163  23840  30730
  15348  63763  50516  24591  64414  22038  14597  45629  77510  24708
  48532  23306  19986  14414  46463  31297  46596  64330  49482  44027
  25108  43759  31081  57307  62295  22555  53453  30463  46946  34734
  36436  44961  58024  35802  38588  31965  38488  60577  32148  41107
  27443  89756  24040  52802  19035  46996  47564  26293  24941  31481
  32048  24124  16967  23640  20937  41657  59692  38204  27027  23673
  62428  21822  27794  52152  64230  24657  49399  26259  49265  80830
  65548  47664  55638  51468  45345  67150  35068  30480  27460  27493
 110643  20070  32899  33983  17817  11527  18969  11611   9843   8841
   7323   6623   8374  71404 138054  52385  29629  29996  62629  56589
  25958  15198  50717  66149  36969  24991  24007  30246  73857  59775
  24424  20904  58759  75775  41875  26510  33316  47364  40357  33066
  54203  35635  23773  32832  34233  16099  37687  33149  53586  38888
  22288  40239  50733  38088  52552  39589  57223  24708  20837  24057
  71337  50316  58124  42726  21704  29429  26293  28678  28611  46479
  36519  40874  65865  39739  16633  29045  58991  33283  20336  22822
  25475  23857  33750  22689  25658  44928  22021  16266  64614  37937
  36369  30880  45345  68351  15081  17116  12512  24291  44143  24090
  35768  27043  30363  32115  31131  38538  52285  28144  15265  16066
  14180  11644  47563  18751  48565  36486  32949  69018  88738 341290
  40957  29295  21287  30213  32916  24874  64614  40140  50767  39872
  23089  44811  49082  49415  37370  19352  13179  16232  32532  20020
  14097  20353  15865  28862  14731  25158  10410  11744  11594  43893
  58875  75725  14847  46879  47313  21688  30330  26026  21721  56406
  52969  40356  46696  34918  38788  47080  49433  38621  29245  46980
  40523  19953  83650 103553  58508  63429  27744  46212  68384  51801
  25375  22639  21288  59092  24191  12996  11595  37036  30146  54821
  51601  15698  23023  14130  16866  16733  12062  23673  31631  29345
  25625  50950  24857  16700  50783  19836  24257  53953  24023  31414
  25925  48264  49783  59426  16633  12445  41908  30413  20620  21988
  15298  68835  58074  35418  20020  51367  23540  17350  54754  26876
  35301  39672  21054  13263  13696  23089  42409  23807  28345  45462
  51768  20920  16499  62846  38588  20637  72071  49582  52786  22723
  35819  48097  76509  29028  88354  31231  59125  35018  39873  26593
  23423  31397  35184  22722  26510  11360  38721  20153   8825  32231
  32215  55822  18085  16599  33766  53436  21187]"
To skomplikowane,0.5770676691729323,0.3994360902255639,40389.695439739415,22715.983980572437,916.7425053862166,1064,614,425,"[ 30480  25908  52285  45145  25058  23840  24207  45144  47097  23824
  11644  27761  15097  37620  42258  57123  34233  27043  44394  57207
  65765  34384  46463  38772  36603  35168  58942  48965  29896  32665
  24708  28061  70120  23890  16116  12678  37370  33366  25592  53286
  23723  60643  58508  18535  11261  48698  43143  16816  32232  43526
  39773  41591  43409  50800  24174  70703  36319  71020  74908  42208
  66099  31063  45178  39505  19519  35568  24624  58341  41007  48415
  26092  50267  34401  42292  89823  44043  23273  31715  25375  19719
  58174  94494  23289 109392  43009  71671  17567  15081  14080  12846
  31881  28978  65832  31364  50783  20437  15114  11544  43593  13630
  14581  70937  35935  44110  30113  48264  42926  29162  19803  15231
  30146  23189  24007  32132  43443  17734  60293  36970  51835  27027
  38805  19635  34901  94894  24140  47347  95178  30530  42458  22172
  34601  45278  55305  41208  47530  64748  24874  40106  53387  30714
  33667  19386  24941  47847  19218  13247  37270  71087  27060  59075
  20403  38288  24758  15331   8708  12245  21838  43209  47597  42142
  51184  44310  31598  54354  48982  26793  52702  49732  21805  85969
 118101  34284  85168  20103  23323  85768  57707 100200  54470  46379
  31214  38905  63697  67967  19302  28411  31915  39022  57140  47330
  32065  38304  35952  70520  18952  43526  22322  19819  16616  23473
  17350  15448  51051  39940  41992  37387  32098  16449  32348  53737
  74591  26426  31948  51301  35969  64831  80429  35585  38788  53637
  30597  24841  29495  19119  57524  24441  60026  35068  31981  19936
  15265  56923  31514  32132  29128  36319  25125  16449  29329  47881
  41741  57857  40173  54487  67617  15348  12396  12529  10260  10210
  32232  42142  69602  42225  40456  46312  41625  54554  36136  90323
  19753  63830  36436  35952  21738  21337  26376  39789  13347  56890
  49616  45478  77677  14480  23640  36019  73223  21104  39105  33516
  28178  75158  24641  36436  31364  75609  38955  39222  44594  41691
  39355  21888  63279  65932  34768  24240  17283  11344  14564  11094
  67050  19853  27143  41074  25158  19402  32415  25908  58725 114264
  62712  88372  35351  46412  32465  26643  18968  35168  14914  12078
  22772  13847 141290  38555  51718  18635  25608  26326  17183  19836
  55938  36519 114147  63346  44728  32749  27377  44644  44561  91007
  27110  59926  44627  40940  61377  58692  45612  47063  60293  36486
  32298  19269  25141  99015  53769  22138  38788  36786  35385  45144
  33517  28078  66449  36188  14047  53519  68401  47380  18017  35669
 105905  42075  21371  80063  64364  87720  37721  78461  63430  32516
  52352  41891  52835  35018  34451  54954  64164  31698  42559  66983
  26309  20971  16967  32815  19152  31664  63663  18651  13396  45545
  23840  74991  60226  17750  29863  14498  12362  16283  18518  11078
  11745  10444  10510   9226  29697  64764  50900  95361  24424  26926
  22639  20954  13746  84384  34818  36686  20153  32498  27627  42926
  52135  29629  97847  90006  52435  68334  80480  21771  39405  22456
  47881  52152  33266  18535   9876  20353  32265  48681 124057  28978
  43042  64531  51368  26076  66316  51751  26843  41808  44410  26726
  24558  12679 103069 102702  19536  34934  46012  49449  34801  72405
 153069  63897  17784  30296  18318  32132  32599  25959  52836 169085
  91257  41708  22839  33016  83733  26393  61144  38305  31865  43693
  37454  36452  30846  29579  37904  28077  75925  41207  26893  74324
  34350  65948  75525  30546  35201  46263  37954  20587  42992  25609
  69519  73806  45795  47647  32899  45545  38471  48431  19118  11945
  11828  27660  37470  81080  39505  21855  17600  33449  29362  35034
  27277  23306 136469  69519  17701  28828  65449  55288  33800  32415
  27977  22639  52435  52001  31364  25542  77110  77243  46379  38888
  37904  36586  37537  28795  18101  15214  51051  29295  46346  23506
  24190  70820  31130  21738  46780  60009  17400  31915  46146  64447
  28928  48014  55488   9309  19119  15282  97780  35919  39856  48598
  18735  88338  24540  12712  32682  30046  46045  37787  14481  15348
  39673  62028  43376  47430  28795  17967  49799  22772  13279  24941
  21488  36769  43426  14130  52319  54304  31131   9258   8375  23239
   6656  23206  59792   9826]"
Znajomy - Znajomy,0.5480072463768116,0.4311594202898551,41686.26280991735,24209.00619965382,695.9599952731188,2208,1210,952,[60543 27877 34967 ... 33049 25742 37687]
Nieznajomy - Nieznajomy,0.51985559566787,0.45126353790613716,42096.229166666664,24793.54461825346,2066.1287181877883,277,144,125,"[ 39372  17600  34968  28728  17451  13747  20720   9476  59442  23923
  83149  63913  45895  34350  65348  56056  28428  40390  35101  42842
  44110  80847  85151  46262  54237  31698 129195  56589  14464  13196
  13229  11745  79178  27961  34501  21872  32632  14964  32432  38588
  58641  38555  75107  51234  32015  18651  36720  81047  90406  50049
  31714  45545  32599  30947  20937  32382  57540  32766  78978 102168
  37404  43343  22088  47614  68818  63763  42826  38471  21771  27294
  31614  87603  77110  36987  39456  33683  47414  52352  23139  43993
  35151  46563  93076  61811  30597  74624  90757  35252  32782  59959
  42408  27477  18084  70369  29662  33049  51000  71905  36803  35134
  21688  37537  80213  50316  42225  33149  24424  93126  49849  29996
 156639  50417  41741  29746  38087  13663  27344  25659  36069  31865
  50049  57790  67717  16866  12295  15965  11194   8875   7257  28978
   7240   5755   7357   6756  36469  43593  47597  66583  26693  20186
  48098  27827  23356  18651]"
Członek rodziny - członek rodziny,0.622975804915222,0.3553057725281006,46159.26391437309,26401.182326130238,461.68897092840893,5249,3270,1865,[24007 52401 50450 ... 21187 58591 51017]
