Tor,Typ_relacji,Licznosc,Sredni_czas_ms,Odch_standardowe,Blad_standardowy,Wskaznik_ukonczenia,Wskaznik_bledow
1,Inna znacząca - Inna znacząca,1847,39972.92434662999,25191.814515098733,934.3126835250551,0.3936112615051435,0.6025988088792636
1,To skomplikowane,1841,41199.366322008864,30002.691382310648,1153.097101261098,0.3677349266702879,0.6246605105920695
1,Nieznajomy - Nieznajomy,316,45134.955555555556,28720.760469878915,2471.8894886722965,0.4272151898734177,0.5569620253164557
1,Znajomy - Znajomy,3072,45447.16529605263,32036.75282515477,918.7168950265842,0.3958333333333333,0.5950520833333334
1,Członek rodziny - członek rodziny,7292,50124.83383323335,33568.51403577525,581.3655847935752,0.45721338453099286,0.5362040592430061
2,Inna znacząca - Inna znacząca,1832,38390.5,22530.428982770085,850.3562435538785,0.38318777292576417,0.6118995633187773
2,To skomplikowane,2451,39224.3852242744,25949.910687341428,942.5432002172215,0.3092615259077927,0.6817625458996328
2,Znajomy - Znajomy,3543,43503.21976284585,26723.07657663416,751.3481015745278,0.3570420547558566,0.6356195314705052
2,Nieznajomy - Nieznajomy,428,43797.86111111111,25351.285761688396,2112.6071468073665,0.3364485981308411,0.6612149532710281
2,Członek rodziny - członek rodziny,8587,48795.994121105236,31269.39417666732,536.1080303049885,0.39618027250494936,0.5979969721672296
3,Inna znacząca - Inna znacząca,1800,23303.779204107832,19890.866672600674,712.6642566669453,0.43277777777777776,0.5638888888888889
3,Znajomy - Znajomy,3424,25610.102777777778,20271.62776979102,534.2042969304923,0.4205607476635514,0.5712616822429907
3,To skomplikowane,1881,25991.502631578947,17658.455771215446,640.5395137817438,0.40404040404040403,0.5911749069643807
3,Nieznajomy - Nieznajomy,516,28036.59813084112,22067.22138893688,1508.4841990014893,0.41472868217054265,0.5813953488372093
3,Członek rodziny - członek rodziny,6960,31814.263250883392,21430.83395178132,367.75215857701164,0.4879310344827586,0.5058908045977012
4,Inna znacząca - Inna znacząca,1393,26650.191176470587,19621.12930194018,659.9299934449508,0.6346015793251975,0.35534816941852115
4,To skomplikowane,1210,26904.31761442441,22042.309103626467,820.898488354572,0.5958677685950413,0.38016528925619836
4,Znajomy - Znajomy,2313,30701.231337767924,24764.224779168017,673.2491891873567,0.5849546044098574,0.4003458711629918
4,Członek rodziny - członek rodziny,5210,36122.53402537486,27958.695998608327,474.7635488525715,0.6656429942418426,0.3122840690978887
4,Nieznajomy - Nieznajomy,198,39104.5905511811,27679.933599434742,2456.196925966422,0.6414141414141414,0.3383838383838384
5,Inna znacząca - Inna znacząca,1187,37520.756533700136,23540.220672817406,873.0584585088118,0.6124684077506318,0.37320977253580456
5,To skomplikowane,1064,40389.695439739415,22715.983980572437,916.7425053862166,0.5770676691729323,0.3994360902255639
5,Znajomy - Znajomy,2208,41686.26280991735,24209.00619965382,695.9599952731188,0.5480072463768116,0.4311594202898551
5,Nieznajomy - Nieznajomy,277,42096.229166666664,24793.54461825346,2066.1287181877883,0.51985559566787,0.45126353790613716
5,Członek rodziny - członek rodziny,5249,46159.26391437309,26401.182326130238,461.68897092840893,0.622975804915222,0.3553057725281006
6,Inna znacząca - Inna znacząca,1354,13101.521784232365,13302.139991740323,428.4330810495511,0.7119645494830132,0.27326440177252587
6,To skomplikowane,1184,14028.037227214378,14041.760366039423,503.0982751165596,0.6579391891891891,0.3217905405405405
6,Znajomy - Znajomy,2598,14439.513481828839,16527.297462063325,400.1403339699618,0.6566589684372595,0.32909930715935337
6,Nieznajomy - Nieznajomy,258,15112.94193548387,12461.13619678352,1000.9025453343096,0.6007751937984496,0.3875968992248062
6,Członek rodziny - członek rodziny,5794,18126.58294693457,18625.58305765255,298.9386791797191,0.670003451846738,0.31032102174663445
7,Inna znacząca - Inna znacząca,1704,48316.109780439125,25083.728364378454,1120.6583364708645,0.29401408450704225,0.6907276995305164
7,Znajomy - Znajomy,3291,48936.450980392154,28736.413791565017,1005.975697967908,0.2479489516864175,0.7274384685505926
7,To skomplikowane,1483,49913.4375,28158.546285334975,1407.9273142667487,0.26972353337828725,0.7006068779501011
7,Nieznajomy - Nieznajomy,363,51305.90625,30511.94381500572,3114.1122253013814,0.2644628099173554,0.7024793388429752
7,Członek rodziny - członek rodziny,7733,57017.88778729158,28464.223980388215,604.2556181767039,0.28695202379412904,0.6904176904176904
