Age_Group,Track_Completed,Mistake,Track_Time,std_time,se_time,count,completed_count,error_count,times
18-29,0.3700805008944544,0.6254472271914132,38262.58429003021,22958.951154726303,399.05986123320486,8944,3310,5594,[44594 36936 29596 ... 23640 17917 32565]
30-44,0.3781257893407426,0.6155594847183632,45371.96092184369,27852.584209155677,509.02556887538293,7918,2994,4874,[60977 51518 39806 ... 27327 18185 48348]
60+,0.32437120555073723,0.6695576756287944,45420.94117647059,36944.10121161878,1910.3339954458143,1153,374,772,"[ 40990  18134  61777  17067  10477  56222  39038  31781  47197  33683
  31498  99099 406054  65364  29763  17601  57307 131998  43093  32382
  26726  35001  99833  34534  21354  17551  21220  20503  11811  11644
   8692  31097  40723  83766  53936  17800  14848  29112  41107  27110
  60309  63579  84601  62829  28978  28327  62512  45345  27777  85618
  15531  81815  74457  49366  23906  16149  26843  23072  19336  26059
  17601  16549  55688  33766  40306 132415  42409  38388  61260  41841
  37254  16132  10760   9192  41007  24307  33616  78962  21688  72022
  79128  54053  54137  57490 138021  28945  18568 299281  89355 134751
  87620  75959  25625  19385  44177  22072  45611  95278  23840  15515
  43527  59292  29279  44394  25391  87854  54571  58675  37504  26693
  39773  33216  29629  37904  55722  73123  42075  28828  35201  93943
  44444  85702  22805  35602  15415  14898  13413  12562 110326  46846
  14514  11828  54053  23573  14898  36035  28661  28644  33199  59742
  25808  98498  22288 105171  47313  90223  47647  28662  23523  51518
  36503  43393  26559  24240  34084  39289  25125  23473  75258   8808
   7707   5972   5722   6523   4888  77160 120370  41824  35568  31014
  67233   8358  45478  26526  47463  31882  74824  42425  56372  42625
  31881  89589  31965  37687  48815  40990  40740  25041  22188  18001
  18485  18885  26176  21854  21487  17300  19886  35151  34400  36970
  29245  89205  28562  25976  19953  18418  17133  20053 142675  48047
  31781  33683  85318  48598  24524  19102  14097 208791  52135  65364
  55288  25024  66132  40073  48297  17233  33150  13996  34033  51601
  11895  83766  41507  43009  25909  60410  30129  23289  14898  21955
  29112  46562  26760  17584  41107  27110  60309  32749  46029  62829
  44877  28945  72372  35035  41307  37854  81815  74457  49366  23906
  16149  26843  23072  19336  26059  17601  67901  58174 132415  42409
  38388  51551  36353  40340  60560  41007  24307  33616  68284  41791
  27627  18468  58825  32465  40874  37820  30013  50266 122872 136769
  14981  19252  19719 134684  95278  31814  19736  83082  23840  15515
  17984  59292  29279  44394  25391  54638  35952  52118  38421  47681
  47330  58791  67650  60193  38938  37670 140172  14380  37904  17817
  35918  64747 103937  92058  25742  35652  51517  35602  15415  14898
  13413  12562 110326  46846  41358  33199 105171  47313  90223  64030
  33383  21437 105638  81047  94660  31397  92442  34084  39289  58558
  21504   8842   8758   6706  25125  45261  39806  57190   8358  45478
  26526  49799  23973  45161  26142  25926  34951  24340  61277  86803
  76676  61444  62829  34467]"
45-59,0.39408438451500655,0.5959112657677251,47971.47792494481,29763.201223299693,988.8161288679017,2299,906,1370,"[ 51151  44794  33616  30880  21388  11895  10426  62362  36970  51785
  45745  25175  27961  30947  20053  58358 117184  36936  32782  23807
  25625  45511  34067 112595  61694  57156  26693  60160 163846 131881
  92475  67700  36286  33082  78228  15148  64213  41591  60960  53119
  30680  55705 155888  40223  38922  49849  19136  43593  14397  38588
  71588  45895  58174  28528  18718  18284  95862  73823  29963 138572
 109275  71020  81164  30847  49916  42725  40073  89239  27293  27960
 113880  30847  21221  85235  25642  82682  51167  46179  33266  29312
  24324  11978  53569  49966  66282  49149  43260  39272  45061  48565
  20303  19636  13146  60276  23873  68318  88755  35385  44427  26593
  33133  63446  36486  61778  76359  50400  41791  47180  29913  32298
  41441  40390  41908  36820  34033  98798  61661 132381 141490  30697
  21037  27510  68868  32482  48898  39022  25208  19269  24958  13980
  13797  24007  46712  23806  41123  28211  32682  17917  29729  43877
  59759  29662  61878  26426  17934  37287  37353  33866  50566  44027
  92158  34767  30129 160343  48715  45445  33533  75775  36269  43493
  60877  61727  36352  57423  28161  50867  50633  82465  72505  38071
  56105  40223  35035  41307  23990  49716  32999  23223  12579  96529
  29479  26660  25091  95845  46078  37887 135335  47063  35485  24324
  45595  27227  17834  43776  54103  27293  21988  95728  26709  67734
  82248  47030  58458  13179  28011  68284  41791 105505  57157  65398
  18468  78544  62963  93126 108458  47013  89689  88738  41974  53787
  48264  42508  78845  32265  43509  26760  19219  66783  17567  53686
  40340  65998  70887  30196  72972  24691  13313  18851  11645  16349
  47747  42158  30380  57924  35068  84734  37904  24040  25275  19152
  46446  52502 110843 104437  36936  34067  34801  39356  67333  22339
  24891  47597  23907  64380  62095  82132  93943 115598 144277  21821
  18718  39205  85619  35017  47048  27111  19119  29713  34517 113663
  46062  77660  33433  21337  15965  47463  17333  10994  61878  59125
  56055  60877 111010  10693  11244  12379  19069  10160   8525  10527
  20570  54554  50333  79529  74874  93426  17617  31748  51884  49849
  79045  23790  81231  22756  35051  25592  44544  18284  17784  13129
   9726  43092  41424  15048  22322  29429  20470  28127  57457  20386
  25225  34401  37103  73489  60460  54137  25225  45879  46546  75525
  27944  38054  22739  32081  36185  33683  44360  46362  41958  51468
  41641  18718  59926  20904  52285  63746  64747 103937  63963  36186
  25458  19786  13446  22539  13263  28311  82182  34050  45828  46029
  48648  63313  33032  13246  22705  47831  28711  13897 102168  18585
  12812  23823  60126  29996  55388  23339  47630  53837  29162  38955
  62562  67750  38888  60793  87186  26176  72188  35401  35318  45244
  51384  27777  63746  61494  50300  40890  36002  54604  39839  62361
  34334 111578  27327  21688  42892  92325  30096  27944  21321  16816
  18985  69419  64864  99882  20520  51651  25742  53836  60476  80346
  77827  83466  24824  91524  15699  20904  12362  27961  67316  53319
  62745  60393  71437  26943  14731  76726 119318  61260  31698  31447
  63663  32081  73373  19302  12429  55839  41674  20470  73573  18952
  59842  45311  61160  60560  46429  66433  51184  32716  57490  95195
  21020 101484  63663  45778 189906  25108  38388  26142  12629   9643
  84134  66182  57824  21454  38571  63713  26009  39923  29279  20670
  51651  27810  70002  62829  34467  18067  95928  44661  58641  29930
  46196  51151  44794  33616  51785  35084  23623  58358  76092  69352
  36936  41191  45511  34067 112595  61694 194243  21838  35368  64330
  85401  32115  62762  61778  32148  24090  45078  92475  67700  30430
  37020  79929  70086  79645  31698  77410  39789  38521  32399  35335
  55839  41974  55705 155888  21471  18385  38905  33149  55722  31181
  33683  44811  32248  94010  53620  30647  42058  20269  78645  42475
  53569  49966  25758  22222  61761  55054  63446  51901  34167  74891
  71988  33349  40757  32298  40390  41908  36820  34033  32265  39589
  51034  54687  17283  67484  14848  33583  68868  32482  48898  39022
  25208  19269  24958  13980  13797  53419  38988  17483  20269  33566
  25492  19702  41190  18618  13730  15148  17917  15732  62295  17216
  37870  28428  24073  60493  24541  17834  33833  31664  32348  43910
  44044  92158  41091  76509  41307  56856  45445  36269  26910  66933
  47730  79012  43493  39372  50633  39305  35601  38071  46813  25175
  56856  62512  56105  38571  19235 122305  96529  29479  26660  52569
  29529  35435  95845  46078  37887  33600  38755  23573  99815  65481
  64363  45595  27227  17834  43776  54103  40273  57907 116265  69302
  30647  31331  42692  40841  58908  51968  62963  48147 299281  89355
 134751  87620  75959  25625  71987  28428  61561  48081  37854  41024
  53052  53787  61995  29596  66266  53186  65548  22889  32899  20353
  13096  10677  53687 104453  79596  24658  39822  70887  30196  65898
  33716  47747  35935  57924  35068  67717  34834  50133  58090 114514
 138004  67583  27110  40023  44143  32165  39005  30447  44044  35017
  47048  27111  19119  29713  17250  47463  49683  25442  54554  54571
  50333  79529  17617  65248  51884  49849  79045  38972  33783  20336
  64380  34401  37504 146562  70520  70236  23840  16566  12862  30730
 103653 256923  93943 100216  48231  21904  22739  85702  44611  36186
  44694  33250  26359  19385  47013  26292  45862  55055  41174  53219
  24357  14314  51134  29562  55272  47830 114347  46496  22572  12695
  74908 124824  55972  23640  48364  55288  25825  25742  54637  23206
  26709  78361  57106  50149  44427  56356  58875 132515  18585  12812
  23823  60126  29996  55388  23339  47630  53837  29162  38955  38221
  67750  57690  18835  81014  72188  35401  35318 108391  59859  28644
 114664  87620  34868  22038  51267  54604  39839  27577  13213  62361
  56706  38021  28445  92325  30096  27944  21321  16816  18985  47881
  73172  99882  20520  13296  53836  60476  33600  50133  18001  26826
  21421  36086  54237 119318  31447  39072 206856  44911  46913  68335
  36402  22021  67150  46429  66433  78261  40456  95195  29963  22572
  41958  38655  38388  26142  12629   9643  84134  74824  66182  16049
  21454  50633  36036  32248  31914  31014  36769  26009  55688  39055
  21604  41507 113646  51718  22939  26159]"
< 18,0.370885697187313,0.6219329742669061,49436.64945542558,31613.13739151925,448.9669141293939,13368,4958,8314,[93576 43976 85919 ... 26042 58641 34918]
